pareçiere	pareciere
à	a
esa	esa
tentazion	tentación
una	una
buena	buena
bofetada	bofetada
no	no
ay	hay
cosa	cosa
como	como
dejar	dejar
aquella	aquella
cosa	cosa
que	que
mas	más
gusto	gusto
da	da
a	a
vm	vm
o	o
en	en
la	la
comida	comida
o	o
en	en
las	las
conbersaciones	conversaciones
por	por
amor	amor
del	del
niño	niño
jhs	jhs
y	y
con	con
eso	eso
al	al
otro	otro
spiritu	espíritu
de	de
elaçion	elación
le	le
derribara	derribará
vm	vm
los	los
brios	bríos
y	y
si	si
quiere	quiere
vm	vm
ensayarse	ensayarse
a	a
sufrir	sufrir
es	es
gran	gran
cosa	cosa
considerar	considerar
lo	lo
que	que
christo	cristo
sufrio	sufrió
y	y
que	que
no	no
haçia	hacía
mal	mal
a	a
nadie	nadie
y	y
atender	atender
al	al
primer	primer
mobimto	movimiento
de	de
la	la
irasçible	irascible
y	y
haçerse	hacerse
fuerza	fuerza
interiormente	interiormente
alegrome	alégrome
mucho	mucho
que	que
vm	vm
este	esté
fuerte	fuerte
en	en
no	no
querer	querer
pecado	pecado
que	que
eso	eso
es	es
huir	huir
de	de
todo	todo
lo	lo
de	de
maliçia	malicia
y	y
pa	para
benzer	vencer
la	la
humana	humana
flaqueza	flaqueza
el	el
sr	señor
dara	dará
fuerzas	fuerzas
à	a
vmd	vm
las	las
almas	almas
humildes	humildes
dizen	dicen
de	de
si	sí
esas	esas
cosas	cosas
en	en
lo	lo
qual	cual
obran	obran
justiçia	justicia
pues	pues
se	se
conozen	conocen
y	y
lo	lo
que	que
merezen	merecen
por	por
sus	sus
defectos	defectos
nro	nuestro
sr	señor
gde	guarde
a	a
vmd	vm
y	y
la	la
de	dé
mucha	mucha
fortaleza	fortaleza
pa	para
gloria	gloria
suya	suya
amen	amén
y	y
vera	verá
que	que
esto	esto
que	que
la	la
digo	digo
a	a
vm	vm
nace	nace
de	de
buena	buena
boluntad	voluntad
y	y
no	no
de	de
otra	otra
ninguna	ninguna
raiz	raíz
y	y
vm	vm
este	esté
prebenida	prevenida
que	que
si	si
no	no
ay	hay
guerra	guerra
con	con
los	los
malos	malos
spiritus	espíritus
no	no
puede	puede
haber	haber
victorias	victorias
y	y
que	que
si	si
la	la
humildad	humildad
y	y
la	la
castidad	castidad
y	y
la	la
paziencia	paciencia
no	no
son	son
combatidas	combatidas
como	¿cómo
seran	serán
laureadas	laureadas
este	este
hombre	hombre
tiene	tiene
mucha	mucha
priessa	prisa
de	de
yrse	irse
y	y
a	a
mi	mí
me	me
la	la
da	da
para	para
que	que
escriva	escriba
a	a
vm	vm
le	le
mde	mande
embiar	enviar
çinqta	cincuenta
rs	reales
que	que
dice	dice
le	le
quedo	quedó
vm	vm
a	a
deber	deber
de	de
todas	todas
quentas	cuentas
por	por
eso	eso
vm	vm
sea	sea
servido	servido
de	de
embiarselos	enviárselos
y	y
a	a
mi	mí
mandarme	mandarme
en	en
que	que
le	le
sirba	sirva
el	el
sor	señor
inqor	inquisidor
peña	peña
amigo	amigo
de	de
vm	vm
bino	vino
anoche	anoche
y	y
esta	está
bueno	bueno
y	y
si	si
por	por
acà	acá
ay	hay
alga	alguna
cossa	cosa
en	en
que	que
yo	yo
pueda	pueda
servir	servir
a	a
vm	vm
lo	lo
hare	haré
con	con
mucha	mucha
vold	voluntad
dios	dios
gue	guarde
a	a
vm	vm
como	como
yo	yo
deseo	deseo
pa	para
mi	mí
amen	amén
en	en
logroño	logroño
y	y
de	de
heno	enero
4	4
de	de
1600sevan	1600sebastián
de	de
medranoreciviolos	medranorecibiolos
el	el
dho	dicho
anto	antonio
de	de
la	la
barcasevan	barcasebastián
de	de
medrano	medrano
jhs	jhs
macharissmabraba	maríacarísimabrava
mortificazion	mortificación
ha	ha
pasado	pasado
vm	vm
con	con
no	no
haverle	haberle
querido	querido
dar	dar
el	el
papel	papel
y	y
se	se
huelga	huelga
de	de
que	que
yo	yo
dije	dije
que	que
si	si
fuera	fuera
director	director
en	en
esa	esa
casa	casa
hiciera	hiciera
tal	tal
o	o
tal	tal
cosa	cosa
porque	porque
pareçe	parece
temer	temer
en	en
mi	mí
pues	pues
yo	yo
la	la
aseguro	aseguro
que	que
tiene	tiene
su	su
mas	más
y	y
su	su
menos	menos
ello	ello
juzgue	juzgue
de	de
mi	mí
que	que
temo	temo
y	y
que	que
tengo	tengo
otros	otros
muchos	muchos
defectos	defectos
que	que
un	un
pecador	pecador
como	como
yo	yo
que	¿que
puede	puede
tener	tener
sino	sino
defectos	defectos
y	y
en	en
tal	tal
juicio	juicio
conozco	conozco
que	que
vm	vm
es	es
espia	espía
y	y
que	que
no	no
me	me
trata	trata
con	con
la	la
sencillez	sencillez
que	que
es	es
justo	justo
de	de
que	que
se	se
le	le
siguen	siguen
las	las
cosas	cosas
que	que
dice	dice
tiene	tiene
la	la
raphaela	rafaela
inserta	inserta
en	en
ma	maría
josepha	josefa
humillese	humíllese
pues	pues
conoze	conoce
sus	sus
defectos	defectos
y	y
quando	cuando
yo	yo
dije	dije
si	«si
fuera	fuera
yo	yo
director	director
en	en
esa	esa
casa	casa
de	de
almas	almas
hiciera	hiciera
tal	tal
o	o
tal	tal
cosa	cosa»
detenga	detenga
el	el
juicio	juicio
y	y
no	no
firme	firme
concepto	concepto
alguno	alguno
malo	malo
ni	ni
bueno	bueno
y	y
crea	crea
que	que
la	la
leczion	lección
de	de
los	los
nobissimos	novísimos
no	no
es	es
pa	para
exercitarla	ejercitarla
en	en
meditaziones	meditaciones
los	los
que	que
han	han
salido	salido
ya	ya
de	de
pañales	pañales
y	y
caminan	caminan
por	por
el	el
desierto	desierto
en	en
busca	busca
del	del
espeso	espeso
celestial	celestial
porque	porque
entonces	entonces
los	los
lleba	lleva
y	y
sustenta	sustenta
el	el
amor	amor
dibino	divino
y	y
el	el
conozimto	conocimiento
de	de
si	sí
propios	propios
y	y
el	el
odio	odio
del	del
pecado	pecado
y	y
del	del
enemigo	enemigo
y	y
del	del
mundo	mundo
y	y
sus	sus
tramoyas	tramoyas
y	y
de	de
sí	sí
mismos	mismos
y	y
toda	toda
su	su
ansia	ansia
es	es
por	por
hallar	hallar
al	al
esposo	esposo
y	y
meterle	meterle
en	en
la	la
casa	casa
de	de
su	su
alma	alma
y	y
en	en
lecho	lecho
de	de
su	su
corazon	corazón
mas	mas
aqui	aquí
la	la
irasçible	irascible
les	les
hace	hace
guerra	guerra
y	y
es	es
necesso	necesario
traerla	traerla
sobre	sobre
ojo	ojo
porque	porque
se	se
sabe	sabe
hacer	hacer
morteçina	mortecina
como	como
la	la
zorra	zorra
y	y
esto	esto
lo	lo
solicita	solicita
el	el
enemigo	enemigo
para	para
que	que
se	se
descuiden	descuiden
las	las
almas	almas
y	y
juzguen	juzguen
que	que
ya	ya
an	han
acabado	acabado
con	con
sus	sus
enemigos	enemigos
y	y
luego	luego
y	y
asi	así
si	si
caen	caen
sera	será
milagro	milagro
si	si
no	no
dan	dan
con	con
mas	más
fuerza	fuerza
en	en
el	el
vicio	vicio
de	de
la	la
impaziencia	impaciencia
combiene	conviene
llamarla	llamarla
a	a
la	la
irasçible	irascible
a	a
batalla	batalla
y	y
tomar	tomar
la	la
toma	toma
con	con
aquello	aquello
que	que
mas	más
irrita	irrita
y	y
derriba	derriba
al	al
alma	alma
en	en
impaçiencia	impaciencia
y	y
hacerle	hacerle
cruda	cruda
guerra	guerra
con	con
actos	actos
de	de
aborrecimto	aborrecimiento
d	de
ella	ella
y	y
de	de
si	sí
y	y
esto	esto
repetirlo	repetirlo
por	por
tres	tres
beces	veces
y	y
luego	luego
estar	estar
con	con
vigilancia	vigilancia
para	para
que	que
quando	cuando
en	en
una	una
ocasion	ocasión
inpensada	impensada
acometa	acometa
de	de
inprobiso	improviso
acudir	acudir
a	a
las	las
armas	armas
de	de
la	la
desconfiança	desconfianza
de	de
si	sí
misma	misma
y	y
confianza	confianza
en	en
dios	dios
y	y
darle	darle
con	con
el	el
aborrecimiento	aborrecimiento
y	y
esforzarse	esforzarse
con	con
los	los
exemplos	ejemplos
que	que
nos	nos
dio	dio
christo	cristo
en	en
su	su
pasion	pasión
sma	santísima
y	y
si	si
cae	cae
alguna	alguna
vez	vez
humillarse	humillarse
y	y
combertirse	convertirse
a	a
dios	dios
el	el
corazon	corazón
con	con
amor	amor
y	y
luego	luego
bolber	volver
a	a
la	la
lucha	lucha
y	y
aqui	aquí
en	en
tales	tales
caidas	caídas
se	se
conoze	conoce
lo	lo
para	para
poco	poco
que	que
somos	somos
mirelo	mírelo
vm	vm
pintado	pintado
en	en
la	la
filotea	filotea
del	del
sr	señor
palafox	palafox
pues	pues
por	por
mas	más
luz	luz
que	que
le	le
dio	dio
el	el
amor	amor
dibino	divino
pa	para
que	que
biese	viese
lo	lo
que	que
eran	eran
todas	todas
las	las
pompas	pompas
del	del
mundo	mundo
andubo	anduvo
repaseando	repaseando
el	el
dejarlas	dejarlas
todas	todas
y	y
el	el
amor	amor
dibino	divino
no	no
se	se
las	las
quiso	quiso
todas	todas
entonces	entonces
mas	mas
qdo	cuando
crecio	creció
el	el
amor	amor
en	en
su	su
alma	alma
las	las
arrojo	arrojó
de	de
si	sí
como	como
si	si
fueran	fueran
aspides	áspides
y	y
quedo	quedó
unida	unida
à	a
la	la
voluntad	voluntad
del	del
esposo	esposo
santo	santo
y	y
d	de
esto	esto
se	se
colijen	coligen
dos	dos
cosas	cosas
que	que
pa	para
que	que
dios	dios
de	dé
la	la
dibina	divina
union	unión
a	a
las	las
almas	almas
es	es
neçesario	necesario
dejen	dejen
todas	todas
las	las
pompas	pompas
y	y
vanidades	vanidades
del	del
mundo	mundo
y	y
sijan	sigan
a	a
christo	cristo
y	y
esta	esta
union	unión
es	es
la	la
posession	posesión
del	del
esposo	esposo
celestial	celestial
y	y
esto	esto
es	es
lo	lo
que	que
pedimos	pedimos
en	en
el	el
pe	padre
nuestro	nuestro
qo	cuando
deçimos	decimos
a	a
dios	dios
benganos	«vénganos
el	el
tu	tu
reyno	reino»
pues	pues
no	no
solo	sólo
le	le
pedimos	pedimos
pa	para
eternamte	eternamente
sino	sino
para	para
temporalmte	temporalmente
esto	esto
es	es
pa	para
vida	vida
y	y
pa	para
despues	después
de	de
muerte	muerte
corporal	corporal
ay	hay
tres	tres
muertes	muertes
u	o
quatro	cuatro
una	una
es	es
del	del
alma	alma
la	la
qual	cual
es	es
el	el
pecado	pecado
mortal	mortal
otra	otra
es	es
del	del
spiritu	espíritu
qdo	cuando
muere	muere
uno	uno
a	a
todo	todo
lo	lo
terreno	terreno
y	y
a	a
sí	sí
mismo	mismo
otra	otra
es	es
del	del
cuerpo	cuerpo
qdo	cuando
sale	sale
d	de
esta	esta
vida	vida
el	el
alma	alma
pa	para
la	la
otra	otra
y	y
la	la
ultima	última
es	es
la	la
eterna	eterna
condenazion	condenación
de	de
lo	lo
qual	cual
se	se
colije	colige
que	que
no	no
dara	dará
dios	dios
su	su
reyno	reino
en	en
esta	esta
vida	vida
a	a
quien	quien
no	no
dejase	dejase
todas	todas
las	las
pompas	pompas
y	y
vanidades	vanidades
del	del
mundo	mundo
y	y
siguiesse	siguiese
a	a
christo	cristo
a	a
quien	quien
sea	sea
dado	dado
todo	todo
honor	honor
ymperio	imperio
y	y
gloria	gloria
amen	amén
aora	ahora
la	la
quiero	quiero
reñir	reñir
un	un
poco	poco
a	a
vm	vm
charissma	carísima
y	y
digo	digo
que	que
me	me
tiene	tiene
muy	muy
enojado	enojado
y	y
si	si
no	no
fuera	fuera
porque	porque
es	es
una	una
anima	ánima
simple	simple
le	le
havia	había
de	de
escribir	escribir
con	con
una	una
fuerza	fuerza
de	de
spiritu	espíritu
que	que
le	le
havia	había
de	de
juntar	juntar
los	los
huesos	huesos
con	con
la	la
tierra	tierra
todo	todo
lo	lo
haçe	hace
al	al
rebes	revés
si	si
yo	yo
digo	digo
mis	mis
defectos	defectos
ella	ella
disculpa	disculpa
los	los
suyos	suyos
si	si
yo	yo
disculpo	disculpo
los	los
mios	míos
vm	vm
diçe	dice
los	los
suyos	suyos
conque	conque
no	no
ay	hay
entenderla	entenderla
luego	luego
dira	dirá
que	que
no	no
tengo	tengo
raçon	razón
en	en
lo	lo
que	que
la	la
dijo	digo
pues	pues
asegurole	asegúrole
que	que
yo	yo
obserbo	observo
el	el
dejar	dejar
que	que
me	me
bayan	vayan
dando	dando
caiga	caiga
qdo	cuando
me	me
diçen	dicen
los	los
mios	míos
asta	hasta
que	que
acaban	acaban
y	y
me	me
los	los
estoy	estoy
entretiniendo	entreteniendo
y	y
acabadas	acabadas
las	las
municiones	municiones
contrarias	contrarias
salgo	salgo
de	de
la	la
celada	celada
y	y
doy	doy
de	de
golpe	golpe
con	con
los	los
adbersarios	adversarios
y	y
disparo	disparo
mis	mis
municiones	municiones
de	de
forma	forma
que	que
les	les
hago	hago
gloria	gloria
a	a
dios	dios
dejar	dejar
el	el
campo	campo
y	y
las	las
armas	armas
y	y
luego	luego
le	le
doy	doy
un	un
vitor	vítor
a	a
mi	mi
nro	nuestro
jhesus	jesús
del	del
puerto	puerto
y	y
lo	lo
mejor	mejor
es	es
que	que
quedo	quedo
con	con
mucha	mucha
mas	más
muniçion	munición
que	que
disparar	disparar
y	y
no	no
me	me
entretengo	entretengo
en	en
cojer	coger
los	los
despojos	despojos
asta	hasta
que	que
el	el
campo	campo
esta	está
seguro	seguro
eme	heme
desculpado	disculpado
y	y
no	no
se	se
admire	admire
que	que
me	me
a	ha
obligado	obligado
a	a
ello	ello
la	la
chard	caridad
del	del
proximo	próximo
porque	porque
no	no
ofendan	ofendan
a	a
dios	dios
persiguiendo	persiguiendo
a	a
su	su
sierbo	siervo
suyo	suyo
inoçente	inocente
lo	lo
que	que
importa	importa
es	es
haçer	hacer
lo	lo
que	que
enseña	enseña
el	el
apostol	apóstol
que	que
no	no
hagamos	hagamos
falta	falta
en	en
lo	lo
bueno	bueno
adbertida	advertida
ni	ni
maliciosamte	maliciosamente
y	y
que	que
a	a
nadie	nadie
ofendamos	ofendamos
para	para
que	que
no	no
sea	sea
bituperado	vituperado
nuestro	nuestro
ministerio	ministerio
que	que
el	el
que	que
sembrare	sembrare
cosas	cosas
malas	malas
en	en
sulcos	surcos
de	de
injustiçia	injusticia
las	las
cojera	cogerá
siete	siete
beçes	veces
doblado	doblado
la	la
graçia	gracia
de	de
nro	nuestro
sor	señor
jesuchristo	jesucristo
havite	habite
copiosamente	copiosamente
en	en
su	su
alma	alma
de	de
vm	vm
amensierbo	aménsiervo
sin	sin
probecho	provecho
mire	mire
vm	vm
yo	yo
soy	soy
un	un
sierbo	siervo
sin	sin
probecho	provecho
mas	mas
se	sé
que	que
como	como
la	la
reyna	reina
de	de
las	las
virtudes	virtudes
es	es
la	la
chard	caridad
sus	sus
grados	grados
y	y
los	los
de	de
las	las
demas	demás
virtudes	virtudes
no	no
son	son
iguales	iguales
porque	porque
esta	esta
virtud	virtud
es	es
la	la
vida	vida
del	del
alma	alma
crezca	crezca
vm	vm
mucho	mucho
en	en
humildad	humildad
obedia	obediencia
y	y
paciencia	paciencia
y	y
sobre	sobre
todo	todo
en	en
chard	caridad
y	y
no	no
se	se
le	le
de	dé
nada	nada
de	de
no	no
conozer	conocer
los	los
grados	grados
de	de
las	las
virtudes	virtudes
que	que
como	como
son	son
muchos	muchos
los	los
de	de
la	la
perfezion	perfección
y	y
los	los
de	de
la	la
imperfecion	imperfección
asi	así
no	no
es	es
facil	fácil
se	se
conozcan	conozcan
y	y
si	si
no	no
digale	dígale
vm	vm
al	al
mas	más
docto	docto
me	me
diga	diga
quantos	cuántos
son	son
los	los
grados	grados
de	de
la	la
ymperfecion	imperfección
yo	yo
todos	todos
los	los
dias	días
comienzo	comienzo
a	a
serbir	servir
al	al
sr	señor
pues	pues
el	el
dia	día
de	de
ayer	ayer
ya	ya
bolo	voló
pa	para
siempre	siempre
y	y
el	el
de	de
mañana	mañana
es	es
inçierto	incierto
pues	pues
no	no
se	sé
si	si
dios	dios
me	me
dara	dará
vida	vida
mañana	mañana
y	y
asi	así
no	no
me	me
queda	queda
mas	más
que	que
el	el
de	de
oy	hoy
y	y
ese	ése
se	se
pasa	pasa
por	por
instantes	instantes
y	y
el	el
que	que
pasa	pasa
nunca	nunca
bolbera	volverá
vibe	vive
charissma	carísima
de	de
forma	forma
que	que
restaures	restaures
el	el
tiempo	tiempo
perdido	perdido
el	el
correo	correo
pasado	pasado
no	no
respondi	respondí
a	a
la	la
q	que
resebi	recibí
de	de
vssa	vsa
con	con
toda	toda
estimasion	estimación
por	por
llegar	llegar
tarde	tarde
a	a
mi	mi
mano	mano
y	y
poder	poder
enbiar	enviar
la	la
qta	cuenta
como	como
vssa	vsa
me	me
manda	manda
q	que
es	es
la	la
q	que
va	va
con	con
esta	ésta
la	la
paga	paga
d	de
este	este
año	año
no	no
esta	está
cobrada	cobrada
sino	sino
mui	muy
poco	poco
porq	porque
con	con
la	la
dilasion	dilación
de	de
la	la
flota	flota
no	no
an	han
podido	podido
mas	más
los	los
deudores	deudores
ni	ni
se	se
les	les
puede	puede
apretar	apretar
mucho	mucho
porq	porque
no	no
dejen	dejen
las	las
casas	casas
q	que
ai	hay
muchas	muchas
serradas	cerradas
sin	sin
q	que
aia	haya
quien	quien
las	las
abite	habite
por	por
estar	estar
esta	esta
çiudad	ciudad
mui	muy
pobre	pobre
y	y
falta	falta
de	de
jente	gente
por	por
averle	haberle
faltado	faltado
el	el
comersio	comercio
y	y
sera	será
asertado	acertado
venga	venga
cuanto	cuanto
antes	antes
la	la
faculta	facultad
para	para
la	la
venta	venta
de	de
la	la
asienda	hacienda
de	de
canpo	campo
y	y
ver	ver
si	si
ai	hay
quien	quien
tome	tome
aunq	aunque
sea	sea
a	a
tributo	tributo
las	las
casas	casas
para	para
que	que
las	las
repare	repare
porq	porque
se	se
van	van
aruinando	arruinando
y	y
no	no
puede	puede
ser	ser
de	de
conbeninsia	conveniencia
repararlas	repararlas
por	por
qta	cuenta
de	de
vssa	vsa
por	por
lo	lo
mucho	mucho
q	que
costara	costará
tres	tres
mil	mil
rs	reales
de	de
vellon	vellón
puede	puede
vssa	vsa
librarme	librarme
a	a
ocho	ocho
o	o
dies	diez
dias	días
q	que
los	los
pagare	pagaré
como	como
tanbien	también
lo	lo
aviso	aviso
al	al
sor	señor
don	don
pedro	pedro
ronquillo	ronquillo
en	en
qto	cuanto
yo	yo
balga	valga
estare	estaré
al	al
servisio	servicio
de	de
vssa	vsa
q	que
dios	dios
gde	guarde
ms	muchos
as	años
sanlucar	sanlúcar
nobienbre	noviembre
24	24
de	de
1669	1669
añosmor	añosmayor
sor	servidor
de	de
vssa	vsa
q	que
b	besa
s	su
manto	manoantonio
de	de
acosta	acosta
de	de
fdzsor	fernándezseñor
conde	conde
del	del
villar	villar
de	de
farfan	farfán
esta	ésta
serbira	servirá
de	de
dar	dar
quenta	cuenta
vms	vms
como	como
yo	yo
quedo	quedo
en	en
nueba	nueva
españa	españa
aunque	aunque
con	con
poca	poca
salud	salud
porque	porque
me	me
di	di
un	un
golpe	golpe
en	en
el	el
nabio	navío
que	que
ahinas	ahinas
me	me
orbrara	orbrara
una	una
pina	pierna
mas	mas
yo	yo
ya	ya
estoi	estoy
mejor	mejor
gloria	gloria
a	a
dios	dios
yo	yo
bine	vine
mas	más
por	por
fuerça	fuerza
que	que
de	de
grado	grado
a	a
nueba	nueva
espana	españa
porque	porque
po	pedro
nuñez	núñez
es	es
un	un
hombre	hombre
muy	muy
perdido	perdido
que	que
plubira	pluguiera
dios	dios
que	que
no	no
hubira	hubiera
benido	venido
con	con
el	él
porque	porque
yo	yo
tubira	tuviera
mas	más
como	como
dos	dos
buenos	buenos
adonde	adonde
ubira	hubiera
ganado	ganado
muchos	muchos
ducados	ducados
mas	mas
yo	yo
dexare	dejaré
a	a
po	pedro
nuñez	núñez
en	en
legado	llegado
a	a
mexico	méxico
porqu	porque
es	es
un	un
hombre	hombre
mui	muy
perdido	perdido
y	y
la	la
muger	mujer
mucho	mucho
mas	más
y	y
no	no
hace	hace
mas	más
de	de
parir	parir
cada	cada
dia	día
dios	dios
le	le
remedie	remedie
como	como
puede	puede
yo	yo
entindo	entiendo
que	que
po	pedro
nuñez	núñez
sera	será
mexor	mejor
perdido	perdido
q	que
lo	lo
hera	era
en	en
sant	santo
olalla	olalla
porque	porque
ya	ya
se	se
le	le
ba	va
acabado	acabado
la	la
que	que
truxo	trajo
de	de
españa	españa
porque	porque
debe	debe
de	de
tener	tener
mil	mil
y	y
quas	cuatrocientos
pesos	pesos
de	de
a	a
ocho	ocho
rs	reales
que	que
no	no
tine	tiene
pa	para
llegar	llegar
a	a
mexico	méxico
yo	yo
no	no
acabo	acabo
d	de
entender	entender
a	a
este	este
hombe	hombe
yo	yo
le	le
tengo	tengo
lastima	lástima
y	y
el	él
no	no
hace	hace
lo	lo
que	que
lo	lo
digo	digo
y	y
el	él
no	no
me	me
dexa	deja
buscar	buscar
la	la
bida	vida
y	y
le	le
abre	habré
dexar	dejar
porque	porque
por	por
aca	acá
quein	quien
no	no
busca	busca
la	la
bida	vida
no	no
bolbera	volverá
a	a
espana	españa
yo	yo
tengo	tengo
mucha	mucha
gana	gana
de	de
bolber	volver
solo	sólo
por	por
mi	mi
hija	hija
que	que
hotra	otra
cosa	cosa
no	no
me	me
mata	mata
si	si
no	no
es	es
berla	verla
yo	yo
espero	espero
en	en
dios	dios
que	que
dentro	dentro
de	de
quatro	cuatro
años	años
d	de
estar	estar
en	en
españa	españa
sr	señor
por	por
amor	amor
de	de
dios	dios
que	que
vms	vms
la	la
miren	miren
que	que
dexada	dejada
de	de
mano	mano
de	de
vms	vms
no	no
se	sé
que	que
sera	será
d	de
hela	ella
y	y
ansi	así
suplico	suplico
por	por
amor	amor
de	de
dios	dios
a	a
vms	vms
me	me
miren	miren
por	por
hela	ella
hasta	hasta
que	que
yo	yo
baya	vaya
a	a
esa	esa
tira	tierra
que	que
sera	será
presto	presto
u	o
la	la
dexen	dejen
vms	vms
en	en
un	un
monesterio	monesterio
u	o
hagan	hagan
vms	vms
lo	lo
que	que
mexor	mejor
a	a
vms	vms
le	le
parecire	pareciere
y	y
con	con
esto	esto
no	no
digo	digo
mas	más
sino	sino
que	que
dios	dios
guarde	guarde
a	a
vms	vms
y	y
julian	julián
besa	besa
a	a
vms	vms
las	las
manos	manos
queda	queda
en	en
cartaxena	cartagena
hen	en
san	san
ju	juan
de	de
luga	luga
en	en
la	la
banda	banda
de	de
bretron	bretron
a	a
20	20
dias	días
de	de
abril	abril
de	de
1600	1600
añosalo	añosalonso
madrid	madrid
illmo	ilustrísimo
sraunq	señoraunque
el	el
otro	otro
dia	día
supplique	supliqué
a	a
vsa	vsa
me	me
hiciese	hiciese
md	merced
de	de
hacersela	hacérsela
a	a
joan	juan
del	del
fero	ferro
cocinero	cocinero
mayor	mayor
de	de
su	su
mt	majestad
en	en
despachar	despachar
su	su
negocio	negocio
me	me
a	ha
parecido	parecido
bolber	volver
a	a
cordarselo	acordárselo
porq	porque
no	no
aya	haya
falta	falta
en	en
su	su
minesterio	ministerio
y	y
por	por
aberme	haberme
su	su
mt	majestad
de	de
la	la
reyna	reina
nra	nuestra
sa	señora
mandado	mandado
dia	diga
a	a
vsa	vsa
q	que
se	se
dara	dará
por	por
serbida	servida
de	de
ber	ver
este	este
negocio	negocio
acabado	acabado
guarde	guarde
nro	nuestro
sr	señor
a	a
vsa	vsa
los	los
muchos	muchos
años	años
q	que
deseo	deseo
domingo	domingo
a	a
3	3
de	de
setiembre	septiembre
1628illmo	1628ilustrísimo
sr	señor
besa	besa
las	las
manos	manos
de	de
vsa	vsa
su	su
mayor	mayor
serbidor	servidor
de	de
vsael	vsael
cond	conde
de	de
bte	benavente
madre	madre
de	de
mi	mi
alma	alma
y	y
bidanuestro	vidanuestro
señor	señor
te	te
de	dé
alegres	alegres
y	y
felices	felices
pasquas	pascuas
que	que
yo	yo
no	no
las	las
puedo	puedo
tener	tener
buenas	buenas
faltandome	faltándome
tu	tú
dueño	dueño
de	de
mi	mi
bida	vida
y	y
alma	alma
y	y
de	de
mas	más
a	a
mas	más
quedo	quedo
con	con
un	un
balien	valiente
catarro	catarro
mas	mas
quiriendo	queriendo
dios	dios
no	no
sera	será
na	nada
que	que
con	con
que	que
se	se
açerca	acerca
el	el
plaço	plazo
de	de
mi	mi
yda	ida
me	me
siento	siento
mas	más
alibiado	aliviado
ya	ya
sera	será
presto	presto
quiriendo	queriendo
dios	dios
y	y
asi	así
me	me
podras	podrás
enbiar	enviar
a	a
deçir	decir
lo	lo
que	que
quires	quieres
que	que
llebe	lleve
que	que
io	yo
llebare	llevaré
e	he
sentido	sentido
mucho	mucho
que	que
mi	mi
señora	señora
doña	doña
maria	maría
y	y
mi	mi
señora	señora
doña	doña
francisca	francisca
no	no
goçen	gocen
de	de
entera	entera
salud	salud
dios	dios
se	se
la	la
de	dé
como	como
puede	puede
y	y
este	este
su	su
serbidor	servidor
desea	desea
que	que
anque	aunque
pecador	pecador
lo	lo
encomiendo	encomiendo
muy	muy
de	de
beras	veras
a	a
nro	nuestro
sr	señor
y	y
nuestra	nuestra
señora	señora
y	y
podran	podrán
sus	sus
merçeds	mercedes
estar	estar
entendidas	entendidas
de	de
que	que
se	se
la	la
deseo	deseo
tanto	tanto
como	como
te	te
nubla	nubla
y	y
que	que
quiriendo	queriendo
dios	dios
estare	estaré
muy	muy
brebemente	brevemente
a	a
bellas	verlas
y	y
en	en
el	el
ynter	inter
me	me
podran	podrán
mandar	mandar
alguna	alguna
cosa	cosa
q	que
en	en
esta	esta
ciudad	ciudad
se	se
les	les
ofresca	ofrezca
a	a
mi	mi
señora	señora
doña	doña
maria	maría
herrera	herrera
beso	beso
su	su
mano	mano
y	y
q	que
como	como
e	he
dho	dicho
estare	estaré
presto	presto
con	con
su	su
merçed	merced
a	a
baylar	bailar
el	el
çaranmeque	zaranbeque
y	y
lo	lo
que	que
su	su
merçed	merced
me	me
quisire	quisiere
mandar	mandar
que	que
sienpre	siempre
me	me
terna	tendrá
a	a
su	su
horden	oden
y	y
serbiçio	servicio
y	y
el	él
entretanto	entretanto
tenga	tenga
feliçes	felices
y	y
alegres	alegres
pasquas	pascuas
y	y
todos	todos
las	las
tengan	tengan
y	y
tu	tú
mi	mi
alma	alma
y	y
bida	vida
mucha	mucha
salud	salud
que	que
dios	dios
te	te
de	dé
como	como
puede	puede
y	y
este	este
tu	tu
berdadero	verdadero
yjo	hijo
desea	desea
y	y
a	ha
menester	menester
y	y
porque	porque
no	no
te	te
quiro	quiero
cansar	cansar
no	no
soy	soy
mas	más
largo	largo
y	y
porque	porque
estaremos	estaremos
presto	presto
juntos	juntos
tanbien	también
a	a
tu	tu
padre	padre
e	he
scrito	escrito
dos	dos
cartas	cartas
y	y
no	no
e	he
tenido	tenido
de	de
ninguna	ninguna
repuesta	respuesta
no	no
se	sé
que	qué
sea	sea
la	la
causa	causa
sino	sino
en	en
que	que
este	esté
enogado	enojado
conmigo	conmigo
abisame	avísame
de	de
todo	todo
q	que
lo	lo
siento	siento
mucho	mucho
y	y
con	con
esto	esto
y	y
que	que
yre	iré
presto	presto
a	a
que	que
nos	nos
goçemos	gocemos
a	a
dios	dios
mi	mi
alma	alma
y	y
bida	vida
que	que
te	te
me	me
gde	guarde
como	como
deseo	deseo
y	y
e	he
menesterd	menester
esta	de
tu	esta
casa	tu
oy	casa
sabado	hoy
beynteyquatro	sábado
de	veinticuatro
diçiembre	de
de	diciembre
644	de
años	644
tu	añostu
yjo	hijo
que	que
mas	más
q	que
a	a
si	sí
te	te
quiredon	quieredon
luis	luis
de	de
jon	jon
y	y
acuñasy	acuñasy
me	me
corro	corro
