TRAIN,LABELS
alla,allá
se,se
aguarda,aguarda
aguardo,aguardo
los,los
2640,2640
pesos,pesos
de,de
la,la
pa,primera
paga,paga
como,como
dicho,dicho
es,es
y,y
lo,lo
demas,demás
a,a
su,su
tiempo,tiempo
en,en
lo,lo
qual,cual
procedera,procederá
vm,vm
comforme,conforme
mi,mi
orden,orden
dado,dado
a,a
vm,vm
en,en
el,el
embiarlo,enviarlo
mandandolo,mandándolo
repartir,repartir
en,en
tres,tres
ò,o
quatro,cuatro
navios,navíos
registrado,registrado
en,en
el,el
registro,registro
de,de
su,su
mag,majestad
todo,todo
como,como
conviene,conviene
y,y
dios,dios
lo,lo
traya,traiga
en,en
bien,bien
veo,veo
el,el
concejo,consejo
que,que
vm,vm
me,me
da,da
de,de
que,que
a,a
lo,lo
venidero,venidero
no,no
embye,envíe
mas,más
de,de
asta,hasta
una,una
dozena,docena
de,de
cajas,cajas
y,y
esto,esto
rrepartido,repartido
en,en
dos,dos
cargaçones,cargazones
asortidas,asortidas
huelgo,huelgo
mucho,mucho
del,del
aviso,aviso
y,y
de,de
libros,libros
nuevos,nuevos
embiare,enviaré
quantos,cuantos
oviere,hubiere
el,el
no,número
que,que
vm,vm
me,me
avisa,avisa
y,y
si,si
la,la
mema,memoria
que,que
vm,vm
m,me
enbia,envía
rrecibiera,recibiera
mas,más
presto,presto
embiara,enviara
una,una
cargaçon,cargazón
con,con
esta,esta
armada,armada
pero,pero
vino,vino
muy,muy
tarde,tarde
a,a
mi,mi
poder,poder
despues,después
la,la
venida,venida
de,de
la,la
primera,primera
caravela,carabela
a,a
sevi,sevilla
por,por
tanto,tanto
las,las
cartas,cartas
que,que
vm,vm
me,me
hiziere,hiciere
m,merced
d,de
escrivir,escribir
vengan,vengan
dirigidas,dirigidas
al,al
s,señor
franco,francisco
del,del
peso,peso
cañas,cañas
en,en
sevilla,sevilla
q,que
es,es
hombre,hombre
principal,principal
que,que
luego,luego
me,me
las,las
embiara,enviará
y,y
ver,ver
el,el
poco,poco
despacho,despacho
que,que
vm,vm
me,me
dize,dice
ay,hay
de,de
libros,libros
y,y
lo,lo
mal,mal
que,que
se,se
venden,venden
a,a
causa,causa
de,de
las,las
revueltas,revueltas
entre,entre
clerigos,clérigos
y,y
frayles,frailes
me,me
desanimo,desanimó
pero,pero
el,el
año,año
que,que
viene,viene
lo,lo
embiare,enviaré
por,por
la,la
orden,orden
que,que
vm,vm
avisa,avisa
que,que
gracias,gracias
a,a
dios,dios
tengo,tengo
tan,tan
buena,buena
comodidad,comodidad
como,como
quantos,cuantos
ay,hay
y,y
agora,ahora
que,que
dios,dios
llevo,llevó
al,al
s,señor
vincente,vicente
portonarys,portonaris
q,que
proveya,proveía
a,a
vm,vm
y,y
al,al
s,s
trevino,treviño
si,si
se,se
quisieren,quisieren
servir,servir
de,de
mi,mí
me,me
avisen,avisen
y,y
m,me
embye,envíe
vm,vm
las,las
memas,memorias
que,que
fuere,fuere
servido,servido
que,que
yo,yo
procurare,procuraré
hazer,hacer
lo,lo
posible,posible
como,como
vm,vm
mereze,merece
y,y
yo,yo
devo,debo
y,y
contento,contento
nuestro,nuestro
senór,señor
la,la
muy,muy
maga,magnífica
psona,persona
de,de
vm,vm
guarde,guarde
muchos,muchos
as,años
como,como
deseo,deseo
para,para
mi,mí
de,de
m,medina
del,del
campo,campo
d,de
esta,esta
casa,casa
de,de
vm,vm
a,a
27,27
de,de
mayo,mayo
1585,1585
b,besa
l,la
m,mano
de,de
vm,vm
su,su
sevor,servidor
benito,benito
boyer,boyer
olvidoseme,olvidóseme
dezir,decir
a,a
vm,vm
como,cómo
ay,hay
algunas,algunas
personas,personas
que,que
contraazen,contrahacen
my,mi
firma,firma
dicha,dicha
escritta,escrita
de,de
my,mi
mano,mano
an,han
engañado,engañado
algunas,algunas
personas,personas
q,que
le,le
servian,servían
a,a
vm,vm
por,por
amigo,amigo
diego,diego
boyer,boyer
ilte,ilustre
señor,señor
con,con
esta,esta
armada,armada
enbio,envío
a,a
vm,vm
quarenta,cuarenta
cajas,cajas
de,de
libros,libros
de,de
dibersas,diversas
facultades,facultades
que,que
ban,van
todos,todos
muy,muy
bien,bien
enquadernados,encuadernados
que,que
la,la
memoria,memoria
futura,futura
d,de
ellos,ellos
de,de
lo,lo
que,que
montan,montan
mi,mi
sobrino,sobrino
juan,juan
voyer,boyer
de,de
sevilla,sevilla
enbiara,enviará
a,a
vm,vm
desde,desde
sevilla,sevilla
el,el
qual,cual
enbie,envié
alla,allá
solamente,solamente
para,para
haçer,hacer
las,las
cargas,cargas
las,las
quales,cuales
mandara,mandará
vm,vm
bender,vender
con,con
toda,toda
brebedad,brevedad
y,y
diligençia,diligencia
posible,posible
y,y
lo,lo
que,que
d,de
ellas,ellas
procediere,procediere
pagado,pagado
vm,vm
de,de
su,su
provision,provisión
y,y
responsion,responsión
como,como
es,es
costumbre,costumbre
y,y
renbolso,reembolso
de,de
los,los
fletes,fletes
y,y
gastos,gastos
que,que
en,en
ello,ello
vm,vm
hiçiere,hiciere
lo,lo
demas,demás
sera,será
servido,servido
de,de
me,me
lo,lo
remitir,remitir
con,con
la,la
primera,primera
flota,flota
o,o
navios,navíos
que,que
por,por
aca,acá
binieren,vinieren
y,y
vm,vm
los,los
rreparta,reparta
en,en
los,los
mas,más
navios,navíos
que,que
le,le
pareçiere,pareciere
y,y
pudiere,pudiere
porque,porque
corramos,corramos
menos,menos
riesgo,riesgo
y,y
si,si
acaso,acaso
mateo,mateo
del,del
canto,canto
mi,mi
cuñado,cuñado
que,que
creo,creo
se,se
bolbera,volverá
en,en
esta,esta
flota,flota
pidiere,pidiere
algo,algo
a,a
vm,vm
por,por
mi,mi
cuenta,cuenta
no,no
se,se
le,le
de,dé
cosa,cosa
alguna,alguna
porque,porque
esta,ésta
es,es
mi,mi
voluntad,voluntad
e,y
haralo,haralo
vm,vm
por,por
la,la
mejor,mejor
forma,forma
que,que
le,le
parezca,parezca
sin,sin
qu,que
el,él
entienda,entienda
que,que
yo,yo
e,he
dado,dado
este,este
abiso,aviso
y,y
en,en
ninguna,ninguna
manera,manera
buelbo,vuelvo
a,a
deçir,decir
que,que
por,por
mi,mi
quenta,cuenta
vm,vm
no,no
le,le
de,dé
cosa,cosa
alguna,alguna
las,las
duçientas,doscientas
biblias,biblias
de,de
batablo,vatablo
que,que
ban,van
ynclusas,inclusas
en,en
las,las
dichas,dichas
quarenta,cuarenta
cajas,cajas
vm,vm
las,las
venda,venda
muy,muy
bien,bien
porque,porque
asta,hasta
que,que
vm,vm
alla,allá
las,las
aya,haya
bendido,vendido
yo,yo
no,no
bendere,venderé
ni,ni
dare,daré
a,a
persona,persona
alguna,alguna
ninguna,ninguna
porque,porque
todas,todas
las,las
que,que
ay,hay
las,las
tengo,tengo
en,en
mi,mi
poder,poder
y,y
asta,hasta
saver,saber
vm,vm
las,las
a,ha
bendido,vendido
por,por
ningun,ningún
dinero,dinero
dare,daré
ni,ni
bendere,venderé
ninguna,ninguna
porque,porque
como,como
dicho,dicho
es,es
vm,vm
benda,venda
bien,bien
las,las
dichas,dichas
biblias,biblias
y,y
porque,porque
juan,juan
voyer,boyer
mi,mi
sobrino,sobrino
escrivira,escribirá
a,a
vm,vm
desde,desde
sevilla,sevilla
largamente,largamente
no,no
tengo,tengo
que,que
deçir,decir
mas,más
de,de
que,que
vm,vm
me,me
mande,mande
en,en
que,qué
sirba,sirva
porque,porque
lo,lo
are,haré
como,como
las,las
obras,obras
lo,lo
mostraran,mostrarán
y,y
nro,nuestro
señor,señor
ettc,etc
de,de
medina,medina
del,del
campo,campo
25,25
de,de
mayo,mayo
1584,1584
ilte,ilustre
señor,señor
beso,besa
las,las
manos,manos
de,de
vm,vm
su,su
muy,muy
cierto,cierto
svidor,servidor
benito,benito
boyer,boyer
ille,ilustre
señor,señor
mi,mi
señora,señora
me,me
a,ha
dicho,dicho
açerca,acerca
de,de
la,la
memoria,memoria
q,que
vm,vm
me,me
dixo,dijo
yo,yo
abisase,avisase
lo,lo
que,que
se,se
abia,había
hecho,hecho
y,y
asi,así
digo,digo
q,que
quanto,cuanto
al,al
adelanto,adelanto
ya,ya
esta,está
en,en
casa,casa
tanbien,también
fui,fui
a,a
lerida,lérida
y,y
able,hablé
con,con
los,los
arbitro,árbitro
y,y
me,me
dixeron,dijeron
que,que
solo,sólo
para,para
lo,lo
que,que
aora,ahora
abian,habían
de,de
açer,hacer
qrian,querían
que,que
yo,yo
les,les
ynformase,informase
de,de
aquellas,aquellas
partidas,partidas
que,que
dice,dice
me,me
a,ha
pasado,pasado
a,a
mi,mí
en,en
quenta,cuenta
que,que
lo,lo
demas,demás
de,de
como,como
a,ha
cobrado,cobrado
q,que
ya,ya
dexara,dejará
puerta,puerta
abierta,abierta
para,para
que,que
en,en
seros,serós
se,se
aberigue,averigũe
con,con
los,los
particulares,particulares
q,que
d,do
otra,otra
manera,manera
no,no
se,se
puede,puede
açer,hacer
nada,nada
diçenme,dícenme
que,que
a,ha
de,de
benir,venir
luego,luego
porque,porque
mañana,mañana
me,me
dixeron,dijeron
los,los
arbitro,árbitro
acabarian,acabarían
este,este
negocio,negocio
q,que
me,me
diçen,dicen
estara,estará
bien,bien
para,para
vm,vm
no,no
se,sé
lo,lo
que,que
sera,será
yo,yo
abisare,avisaré
a,a
vm,vm
si,si
hubier,hubiera
lugar,lugar
con,con
alguno,alguno
el,el
hordio,hordio
y,y
asedio,asedio
de,de
las,las
20,20
lb,libras
q,que
dio,dio
el,el
señor,señor
çibiran,cibirán
de,de
mur,mur
se,se
a,ha
pagado,pagado
a,a
ml,manuel
pollina,pollina
las,las
diez,diez
libras,libras
las,las
demas,demás
se,se
aguardara,aguardará
asata,hasta
la,la
pasqua,pascua
que,que
asi,así
me,me
lo,lo
a,ha
dicho,dicho
peçonada,pezonada
ya,ya
a,ha
quedado,quedado
en,en
la,la
tabla,tabla
200,200
lb,libras
y,y
el,el
moço,mozo
fue,fue
a,a
el,el
salazar,salazar
y,y
tanbien,también
aguardará,aguardará
aqui,aquí
se,se
tendra,tendrá
cuydado,cuidado
en,en
lo,lo
que,que
se,se
hofrezca,ofrezca
sin,sin
per,perder
un,un
punto,punto
y,y
pues,pues
no,no
se,se
hofreçe,ofrece
otro,otro
ntro,nuestro
señor,señor
guarde,guarde
la,la
ille,ilustre
persona,persona
de,de
vm,vm
como,como
puede,puede
y,y
este,este
su,su
criado,criado
de,de
vm,vm
dessea,desea
de,de
seros,serós
y,y
março,marzo
y,y
20,20
de,de
1592,1592
ille,illustre
señor,señor
v,vuestro
a,amigo
v,besa
l,la
m,mano
su,su
criado,criado
de,de
vm,vm
adrian,adrián
de,de
la,la
fuente,fuente
como,como
vm,vm
nunha,nunca
m,me
a,ha
respondido,respondido
a,a
mis,mis
cartas,cartas
m,me
e,he
dexado,dejado
de,de
escrivirle,escribirle
si,si
bien,bien
no,no
he,he
dexado,dejado
d,de
escrivirle,escribirle
en,en
su,su
offo,oficio
de,de
vm,vm
de,de
duanero,aduanero
q,que
como,como
martin,martín
del,del
condado,condado
no,no
tuxo,trajo
los,los
recados,recados
como,como
abian,habían
de,de
ser,ser
co,con
revocasion,revocación
de,de
mi,mi
sustitusion,sustitución
no,no
obstante,obstante
me,me
sito,sito
delante,delante
del,del
sr,señor
regente,regente
el,el
dicho,dicho
regente,regente
declaro,declaró
q,que
truxese,trajese
los,los
poderes,poderes
cn,con
revocasion,revocación
mia,mía
q,que
co,con
solo,sólo
el,el
acto,acto
del,del
consierto,concierto
no,no
bastava,bastaba
para,para
mi,mi
cautela,cautela
de,de
darle,darle
posesion,posesión
de,de
dicho,dicho
offo,oficio
y,y
ansi,así
asta,hasta
hoi,hoy
io,yo
lo,lo
sirvo,sirvo
io,yo
l,le
enbie,envié
a,a
vm,vm
dos,dos
copias,copias
de,de
la,la
cta,cuenta
asta,hasta
enero,enero
noventa,noventa
y,y
seis,seis
q,que
remate,rematé
ctas,cuentas
co,con
ello,ello
y,y
apt,aparte
monçon,monzón
y,y
los,los
217,217
d,de
esta,esta
mda,moneda
q,que
le,le
quedava,quedaba
de,de
dicha,dicha
cta,cuenta
se,se
los,los
remeti,remití
en,en
77,77
29,29
al,al
pro,procurador
galseran,galcerán
balles,vallés
por,por
seguir,seguir
de,de
aquellos,aquéllos
horden,orden
y,y
bolluntat,voluntad
de,de
vm,vm
acusado,acusado
de,de
bartto,bartolomé
valles,vallés
por,por
md,merced
de,de
agostin,agustín
segui,segui
de,de
3,3
de,de
julio,julio
de,de
96,96
y,y
tengo,tengo
carta,carta
de,de
dicho,dicho
pro,procurador
galseran,galcerán
balles,vallés
de,de
como,como
los,los
resibio,recibió
e,e
yso,hizo
buenos,buenos
a,a
cta,cuenta
de,de
vm,vm
agora,ahora
queda,queda
en,en
mi,mi
poder,poder
el,el
salario,salario
de,de
tres,tres
aniados,añados
finesidos,fenecidos
hoy,hoy
que,que
son,son
tresientas,trescientas
y,y
sesenta,sesenta
llibras,libras
d,de
esta,esta
mda,moneda
sarda,sarda
q,que
son,son
mil,mil
y,y
quatrosientos,cuatrocientos
y,y
corenta,cuarenta
reales,reales
cos,castellanos
vm,vm
ordene,ordene
d,de
ellos,ellos
lo,lo
q,que
se,se
a,ha
de,de
aser,hacer
que,que
no,no
ai,hay
forma,forma
de,de
poderselos,podérselos
remetir,remitir
q,que
arto,harto
a,a
mi,mí
me,me
pessa,pesa
la,la
carta,carta
de,de
su,su
md,merced
no,no
a,ha
serbido,servido
pues,pues
asta,hasta
este,este
dia,día
no,no
se,se
a,ha
quitado,quitado
de,de
mi,mi
mano,mano
dicho,dicho
offo,oficio
hubiera,hubiera
qrido,querido
q,que
dicha,dicha
carta,carta
hubiesse,hubiese
sido,sido
para,para
q,que
ell,el
mre,maestre
rasional,racional
segun,según
a,a
vm,vm
se,se
lo,lo
tengo,tengo
escritto,escrito
l,el
anio,año
92,92
de,de
duanero,aduanero
qu,que
es,es
offo,oficio
de,de
juez,juez
quiso,quiso
aser,hacer
q,que
io,yo
cogiesse,cogiese
ell,el
drecho,derecho
y,y
gano,ganó
esse,ese
anio,año
su,su
magd,majestad
sircha,cerca
mil,mil
dos,doscientos
y,y
no,no
se,se
me,me
dio,dio
salario,salario
sio,sio
ell,el
de,de
vm,vm
de,de
120,120
y,y
se,se
da,da
quado,cuando
se,se
cogie,coge
tresientos,trescientos
y,y
agora,ahora
en,en
ell,el
lluto,luto
de,de
los,los
obsequios,obsequios
de,de
su,su
magd,majestad
dicho,dicho
mre,maestre
rasional,racional
no,no
m,me
a,ha
querido,querido
dar,dar
gramailla,gramalla
como,como
an,han
dado,dado
a,a
los,los
otros,otros
offisiales,oficiales
de,de
su,su
magd,majestad
i,y
ni,ni
tanpocho,tampoco
quiso,quiso
aser,hacer
nota,nota
d,de
ello,ello
porq,porque
yo,yo
tenia,tenía
huna,una
como,como
clavario,clavario
de,de
esta,esta
siudat,ciudad
y,y
le,le
dixe,dije
viese,viese
nota,nota
q,que
no,no
se,se
me,me
daba,daba
por,por
rason,razón
de,de
tener,tener
otra,otra
de,de
clavario,clavario
porque,porque
quedase,quedase
exenplar,ejemplar
q,que
se,se
me,me
debia,debía
no,no
lo,lo
a,ha
querido,querido
aser,hacer
porque,porque
dise,dice
nuncha,nunca
se,se
a,ha
dado,dado
a,a
ningun,ningún
duanero,aduanero
y,y
sepa,sepa
vm,vm
q,que
si,si
no,no
tiene,tiene
vm,vm
carta,carta
de,de
su,su
magd,majestad
co,con
q,que
digua,diga
q,que
ell,el
offo,oficio
de,de
duanero,aduanero
es,es
offo,oficio
de,de
jues,juez
de,de
los,los
agravios,agravios
se,se
asen,hacen
en,en
la,la
duana,aduana
y,y
que,que
ell,el
aver,haber
de,de
coxer,coger
ell,el
drecho,derecho
quando,cuando
no,no
se,se
arenda,arrienda
es,es
offo,oficio
de,de
colletor,colector
inconpatible,incompatible
porq,porque
no,no
puede,puede
ser,ser
jues,juez
i,y
parte,parte
y,y
q,que
por,por
escrito,escrito
manda,manda
q,que
en,en
ell,el
tienpo,tiempo
q,que
dicha,dicha
duana,aduana
no,no
se,se
rendare,arrendare
s,se
encomiende,encomiende
a,a
otra,otra
persona,persona
y,y
no,no
al,al
duanero,aduanero
i,y
q,que
aparesiendo,apareciendo
averlo,haberlo
d,de
encomendador,encomendador
el,el
dicho,dicho
duanero,duanero
se,se
le,le
page,pague
ell,el
sueldo,sueldo
de,de
120,120
i,y
mas,más
ell,el
sueldo,sueldo
de,de
collector,colector
coforme,conforme
se,se
suelle,suele
pagr,pagar
por,por
los,los
rendadores,arrendadores
a,a
los,los
q,que
coxen,cogen
dicho,dicho
drecho,derecho
q,que
si,si
no,no
fuere,fuere
dicha,dicha
surgestion,sugestión
yo,yo
aria,haría
co,con
vm,vm
partido,partido
d,de
ello,ello
poniendo,poniendo
en,en
mi,mi
persona,persona
ell,el
privilegio,privilegio
de,de
dicho,dicho
offo,oficio
q,que
no,no
remediandose,remediándose
esto,esto
no,no
coviene,conviene
porq,porque
es,es
forsado,forzado
q,que
honbre,hombre
dexe,deje
de,de
aser,hacer
sus,sus
negs,negocios
por,por
coxer,coger
dicho,dicho
drecho,derecho
y,y
estar,estar
subgeto,sujeto
a,a
dar,dar
cta,cuenta
de,de
asienda,hacienda
del,del
rey,rey
al,al
rasional,racional
q,que
para,para
mi,mí
es,es
de,de
mucho,mucho
disgusto,disgusto
y,y
guarde,guarde
nro,nuestro
s,señor
a,a
vm,vm
caller,cáller
y,y
henero,enero
a,a
los,los
10,10
de,de
1599,1599
pere,pere
santus,santus
señor,señor
no,no
se,sé
con,con
q,qué
palabras,palabras
exajerar,exajerar
la,la
md,merced
que,que
se,se
me,me
a,ha
hecho,hecho
solo,sólo
con,con
el,el
callar,callar
y,y
de,de
nuevo,nuevo
me,me
proferir,proferir
en,en
lo,lo
que,que
no,no
ai,hay
que,que
mas,más
pues,pues
mandandome,mandándome
vm,vm
como,como
dixe,dije
en,en
la,la
pasada,pasada
conoçera,conocerá
deçir,decir
y,y
hazer,hacer
comer,comer
a,a
mi,mi
mesa,mesa
y,y
si,si
no,no
va,va
lo,lo
que,que
por,por
su,su
carta,carta
a,a
mandar,mandar
m,me
enbia,envía
juro,juro
por,por
el,el
abito,hábito
de,de
santiago,santiago
qu,que
en,en
la,la
çiudad,ciudad
de,de
cuenca,cuenca
no,no
los,los
ai,hay
y,y
pesame,pésame
en,en
todo,todo
estremo,extremo
de,de
no,no
me,me
lo,lo
aver,haber
hecho,hecho
saber,saber
antes,antes
que,que
ante,ante
de,de
aier,ayer
se,se
partio,partió
un,un
librero,librero
hro,hermano
de,de
una,una
ama,ama
mia,mía
que,que
tiene,tiene
obligaçion,obligación
a,a
todo,todo
y,y
asi,así
lo,lo
haze,hace
en,en
lo,lo
que,que
yo,yo
l,le
encargo,encargo
y,y
si,si
no,no
los,los
tuviera,tuviera
encomendaraselos,encomendáraselos
yo,yo
que,que
de,de
que,que
a,a
medina,medina
vaia,vaya
los,los
truxera,trajera
porq,porque
me,me
dixo,dijo
ser,ser
alli,allí
el,el
concurso,concurso
de,de
toda,toda
la,la
mercaduria,mercaduría
de,de
libros,libros
pero,pero
lo,lo
q,que
se,se
puede,puede
perder,perder
es,es
un,un
poco,poco
de,de
tienpo,tiempo
q,que
podra,podrá
vm,vm
esperar,esperar
hasta,hasta
q,que
yo,yo
a,a
toledo,toledo
l,le
escriva,escriba
lo,lo
que,que
aqui,aquí
l,le
encomedara,encomendara
si,si
me,me
acordara,acordara
antes,antes
que,que
se,se
fuera,fuera
y,y
si,si
el,él
los,los
tiene,tiene
el,él
los,los
enbiara,enviará
luego,luego
sin,sin
falta,falta
libros,libros
de,de
romançe,romance
todos,todos
los,los
q,que
ai,hay
que,que
echar,echar
mano,mano
me,me
pareçe,parece
tiene,tiene
o,o
a,ha
visto,visto
pues,pues
tiene,tiene
a,a
don,don
antonio,antonio
de,de
guivara,guevara
y,y
a,a
mexia,mejía
que,que
son,son
agora,ahora
las,las
obras,obras
a,a
que,que
todos,todos
mas,más
se,se
dan,dan
por,por
ser,ser
istoriales,historiales
y,y
autenticas,auténticas
un,un
libro,libro
me,me
dio,dio
este,este
librero,librero
q,que
se,se
yntitula,intitula
suma,suma
de,de
yllustres,ilustres
varones,varones
pero,pero
yo,yo
lei,leí
dos,dos
o,o
tres,tres
dias,días
en,en
el,él
y,y
por,por
dios,dios
q,que
se,se
lo,lo
bolvi,volví
porq,porque
allende,allende
de,de
su,su
romançe,romance
ser,ser
pesado,pesado
alega,alega
a,a
hrdo,hernando
de,de
pulgar,pulgar
y,y
a,a
otros,otros
contenporaneos,contemporáneos
en,en
q,que
nada,nada
se,se
acredita,acredita
y,y
creamelo,créamelo
vm,vm
porq,porque
asi,así
no,no
ser,ser
el,él
afiçion,afición
m,me
engañara,engañara
por,por
ser,ser
el,el
autor,autor
pariente,pariente
mio,mío
qu,que
es,es
un,un
ju,juan
sedeño,sedeño
natural,natural
de,de
arevalo,arévalo
q,que
la,la
primera,primera
çelestina,celestina
en,en
metro,metro
traduxo,tradujo
e,he
estado,estado
ocupado,ocupado
por,por
tanto,tanto
vm,vm
perdone,perdone
mi,mi
tardança,tardanza
y,y
los,los
borrones,borrones
q,que
son,son
en,en
fin,fin
como,como
deprisa,deprisa
en,en
la,la
noche,noche
escrivire,escribiré
muy,muy
largo,largo
ora,ahora
porqu,porque
entienda,entienda
vm,vm
parte,parte
de,de
mis,mis
cosas,cosas
y,y
haga,haga
sobr,sobre
ellas,ellas
algo,algo
al,al
pie,pie
de,de
la,la
letra,letra
si,si
no,no
me,me
olvidare,olvidare
dire,diré
una,una
parteçilla,partecilla
de,de
una,una
carta,carta
q,que
escrevi,escribí
a,a
mi,mi
descanso,descanso
sobre,sobre
qu,que
ella,ella
me,me
mandava,mandaba
me,me
diese,diese
a,a
plazer,placer
com,con
mis,mis
duedos,deudos
y,y
amigos,amigos
y,y
no,no
hiziese,hiciese
la,la
vida,vida
tan,tan
triste,triste
como,como
le,le
deçian,decían
q,que
hago,hago
q,¿qué
alegria,alegría
me,me
podra,podrá
dar,dar
un,un
codiçioso,codicioso
pariente,pariente
y,y
un,un
pesado,pesado
amigo,amigo
que,que
se,se
pueda,pueda
ygualar,igualar
con,con
acordarme,acordarme
yo,yo
a,a
mis,mis
solas,solas
de,de
aquellas,aquellas
dulçes,dulces
palabras,palabras
con,con
tanto,tanto
amor,amor
dichas,dichas
y,y
con,con
obras,obras
mostradas,mostradas
pues,pues
de,de
aquel,aquel
deleitable,deleitable
conçierto,concierto
que,¿qué
memoria,memoria
a,a
conprehenderlo,comprenderlo
basta,basta
ni,ni
que,qué
juizio,juicio
mas,más
de,de
dar,dar
gras,gracias
al,al
criador,creador
como,como
lo,lo
quiere,quiere
guardar,guardar
que,que
no,no
salga,salga
de,de
si,sí
para,para
poderlo,poderlo
goçar,gozar
pues,pues
q,¿qué
dire,diré
de,de
aquel,aquel
efeto,efecto
de,de
la,la
noche,noche
primera,primera
y,y
de,de
la,la
burla,burla
q,que
pense,pensé
y,y
tan,tan
reida,reída
y,y
aconpañada,acompañada
con,con
estar,estar
solos,solos
pues,pues
de,de
lo,lo
pasado,pasado
hasta,hasta
el,el
dia,día
no,no
es,es
liçito,lícito
deçirse,decirse
no,no
porq,porque
no,no
rriçibiria,recibiría
gusto,gusto
en,en
contarlo,contarlo
pero,pero
avie,había
de,de
ser,ser
a,a
solas,solas
q,que
por,por
carta,carta
no,no
es,es
raçonable,razonable
mas,mas
de,de
aquel,aquel
apresurar,apresurar
de,de
oras,horas
del,del
ynportuno,importuno
rrelox,reloj
q,qué
dire,diré
sino,sino
q,que
la,la
pena,pena
q,que
de,de
acordarme,acordarme
d,de
ello,ello
siento,siento
la,la
paso,paso
con,con
el,el
çumoso,zumoso
reir,reír
de,de
toda,toda
mi,mi
esperança,esperanza
quando,cuando
con,con
un,un
gustoso,gustoso
rriso,riso
de,de
ver,ver
las,las
maldiçiones,maldiciones
que,que
al,al
rrelox,reloj
dava,daba
su,su
boca,boca
con,con
la,la
mia,mía
ynmerita,inmérita
juntava,juntaba
hasta,hasta
aquel,aquel
despedir,despedir
postrero,postrero
con,con
tantos,tantos
solloços,sollozos
acordandome,acordándome
q,que
brebe,breve
avia,había
de,de
ser,ser
y,y
no,no
era,era
justo,justo
tanbien,también
que,que
tanta,tanta
gloria,gloria
sin,sin
sobresalto,sobresalto
se,se
goçase,gozase
porque,porque
con,con
ello,ello
no,no
se,se
tinie,tiene
enbidia,envidia
a,a
la,la
de,de
los,los
santos,santos
quanto,cuanto
mas,más
si,si
duradera,duradera
fuera,fuera
esto,esto
es,es
vm,vm
puede,puede
conjeturarlo,conjeturarlo
la,la
burla,burla
alegada,alegada
fue,fue
q,que
yendo,yendo
a,a
su,su
camara,cámara
despues,después
de,de
me,me
aver,haber
abierto,abierto
no,no
se,sé
q,qué
rrecelo,recelo
uvo,hubo
y,y
mandome,mandó
q,que
fuese,fuese
a,a
quitarlo,quitarlo
porq,porque
no,no
nos,nos
sintiesen,sintiesen
y,y
fui,fui
y,y
a,a
la,la
buelta,vuelta
halle,hallé
la,la
puerta,puerta
çerrada,cerrada
y,y
llame,llamé
dos,dos
o,o
tres,tres
veçes,veces
y,y
como,como
no,no
me,me
abrian,abrían
cai,caí
en,en
mi,mi
neçedad,necedad
q,que
aviendo,habiendo
entrado,entrado
y,y
con,con
tanto,tanto
peligro,peligro
perder,perder
tal,tal
ocasion,ocasión
por,por
cosa,cosa
ninguna,ninguna
creiendo,creyendo
acatando,acatando
tanbien,también
ella,ella
mi,mi
cortedad,cortedad
q,que
aun,aun
por,por
dios,dios
no,no
la,la
bese,besé
con,con
en,en
mi,mi
vida,vida
aver,haber
tocado,tocado
mi,mi
mano,mano
a,a
la,la
suia,suya
fue,fue
su,su
benignidad,benignidad
tal,tal
q,que
me,me
abrio,abrió
donde,donde
dimos,dimos
conclusion,conclusión
a,a
tanta,tanta
pena,pena
como,como
yo,yo
sentia,sentía
y,y
ella,ella
q,que
no,no
menos,menos
lo,lo
deçia,decía
si,si
era,era
a,a
la,la
saber,saber
y,y
entrado,entrado
le,le
dixe,dije
lo,lo
q,que
avia,había
pensado,pensado
de,de
q,que
no,no
poca,poca
rrisa,risa
fue,fue
la,la
suia,suya
vm,vm
m,me
estara,estará
esperando,esperando
y,y
a,a
la,la
noche,noche
terne,tendré
mas,más
espaçio,espacio
y,y
escrevire,escribiré
muy,muy
ad,ad
longun,longum
y,y
lo,lo
de,de
la,la
noche,noche
seguda,segunda
q,que
fue,fue
muy,muy
lastimoso,lastimoso
para,para
mi,mí
y,y
todo,todo
lo,lo
dicho,dicho
y,y
lo,lo
q,que
dixere,dijere
en,en
tal,tal
materia,materia
yra,irá
debaxo,debajo
del,del
sello,sello
de,de
la,la
palabra,palabra
q,que
vm,vm
me,me
a,ha
dado,dado
de,de
quedo,quedo
por,por
servidor,servidor
perpetuo,perpetuo
que,que
sus,sus
manos,manos
besa,besa
yhus,yhesús
en,en
medina,medina
del,del
canpo,campo
los,los
23,23
de,de
nobienbre,noviembre
de,de
1537,1537
muy,muy
virtuoso,virtuoso
señor,señor
a,a
la,la
hora,hora
he,he
rrescevido,recibido
una,una
de,de
vm,vm
çerrada,cerrada
de,de
6,6
de,de
otue,octubre
a,a
la,la
qual,cual
hare,haré
breve,breve
rrespuesta,respuesta
a,a
lo,lo
que,que
haze,hace
al,al
caso,caso
veo,veo
por,por
toda,toda
esta,esta
su,su
carta,carta
no,no
se,se
cansa,cansa
de,de
hazerme,hacerme
mrds,mercedes
como,como
si,si
yo,yo
tubiese,tuviese
deudo,deudo
con,con
vm,vm
mas,más
que,que
de,de
hermano,hermano
que,que
todo,todo
lo,lo
